cut_month,num_product,disbursement_date,end_date,days_past_due,loan_term,amortization,loan_amount,interest_rate,installment_amount,outstanding_balance,agency_code,agency_name,product_code,product_name
202210,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,8090,10,Toronto,1,Education
202211,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,7768,10,Toronto,1,Education
202212,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,7446,10,Toronto,1,Education
202301,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,7122,10,Toronto,1,Education
202302,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,6797,10,Toronto,1,Education
202303,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,6470,10,Toronto,1,Education
202304,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,6142,10,Toronto,1,Education
202305,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,5813,10,Toronto,1,Education
202306,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,5482,10,Toronto,1,Education
202307,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,5150,10,Toronto,1,Education
202308,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,4816,10,Toronto,1,Education
202309,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,4482,10,Toronto,1,Education
202310,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,4145,10,Toronto,1,Education
202311,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,3808,10,Toronto,1,Education
202312,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,3469,10,Toronto,1,Education
202401,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,3128,10,Toronto,1,Education
202402,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,2786,10,Toronto,1,Education
202403,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,2443,10,Toronto,1,Education
202404,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,2098,10,Toronto,1,Education
202405,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,1752,10,Toronto,1,Education
202406,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,1405,10,Toronto,1,Education
202407,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,1055,10,Toronto,1,Education
202408,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,705,10,Toronto,1,Education
202409,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,353,10,Toronto,1,Education
202410,1000,13/10/2022,13/10/2024,0,24,30,8090,0.05,354.9195,0,10,Toronto,1,Education
202203,1001,03/03/2022,03/03/2023,0,12,30,1390,0.08,120.9139,1390,50,Whitby,2,General
202204,1001,03/03/2022,03/03/2023,0,12,30,1390,0.08,120.9139,1278,50,Whitby,2,General
202205,1001,03/03/2022,03/03/2023,0,12,30,1390,0.08,120.9139,1165,50,Whitby,2,General
202206,1001,03/03/2022,03/03/2023,0,12,30,1390,0.08,120.9139,1052,50,Whitby,2,General
202207,1001,03/03/2022,03/03/2023,0,12,30,1390,0.08,120.9139,938,50,Whitby,2,General
202208,1001,03/03/2022,03/03/2023,0,12,30,1390,0.08,120.9139,824,50,Whitby,2,General
202209,1001,03/03/2022,03/03/2023,0,12,30,1390,0.08,120.9139,708,50,Whitby,2,General
202210,1001,03/03/2022,03/03/2023,0,12,30,1390,0.08,120.9139,592,50,Whitby,2,General
202211,1001,03/03/2022,03/03/2023,0,12,30,1390,0.08,120.9139,475,50,Whitby,2,General
202212,1001,03/03/2022,03/03/2023,0,12,30,1390,0.08,120.9139,357,50,Whitby,2,General
202301,1001,03/03/2022,03/03/2023,0,12,30,1390,0.08,120.9139,239,50,Whitby,2,General
202302,1001,03/03/2022,03/03/2023,0,12,30,1390,0.08,120.9139,120,50,Whitby,2,General
202303,1001,03/03/2022,03/03/2023,0,12,30,1390,0.08,120.9139,0,50,Whitby,2,General
202302,1002,12/02/2023,12/02/2028,0,60,30,5670,0.08,114.9672,5670,20,North York,2,General
202303,1002,12/02/2023,12/02/2028,0,60,30,5670,0.08,114.9672,5592,20,North York,2,General
202304,1002,12/02/2023,12/02/2028,0,60,30,5670,0.08,114.9672,5515,20,North York,2,General
202305,1002,12/02/2023,12/02/2028,0,60,30,5670,0.08,114.9672,5436,20,North York,2,General
202306,1002,12/02/2023,12/02/2028,0,60,30,5670,0.08,114.9672,5358,20,North York,2,General
202307,1002,12/02/2023,12/02/2028,0,60,30,5670,0.08,114.9672,5278,20,North York,2,General
202308,1002,12/02/2023,12/02/2028,0,60,30,5670,0.08,114.9672,5199,20,North York,2,General
202309,1002,12/02/2023,12/02/2028,0,60,30,5670,0.08,114.9672,5118,20,North York,2,General
202310,1002,12/02/2023,12/02/2028,0,60,30,5670,0.08,114.9672,5038,20,North York,2,General
202311,1002,12/02/2023,12/02/2028,0,60,30,5670,0.08,114.9672,4956,20,North York,2,General
202312,1002,12/02/2023,12/02/2028,0,60,30,5670,0.08,114.9672,4874,20,North York,2,General
202401,1002,12/02/2023,12/02/2028,0,60,30,5670,0.08,114.9672,4792,20,North York,2,General
202402,1002,12/02/2023,12/02/2028,0,60,30,5670,0.08,114.9672,4709,20,North York,2,General
