cut_month,disbursement_month,loan_term,interest_rate,agency_code,agency_name,product_code,product_name,credit_status,loan_amount,loan_amount_count,outstanding_balance,count_records
202201,202201,12,0.08,40,Pickering,2,General,Excellent,4360,1,4360,1
202201,202201,12,0.09,10,Toronto,3,Taxes loan,Excellent,9210,1,9210,1
202201,202201,24,0.05,20,North York,1,Education,Excellent,1720,1,1720,1
202201,202201,24,0.05,40,Pickering,1,Education,Excellent,8670,1,8670,1
202201,202201,24,0.08,30,Missisauga,2,General,Excellent,4080,1,4080,1
202201,202201,24,0.08,40,Pickering,2,General,Excellent,5560,1,5560,1
202201,202201,24,0.08,50,Whitby,2,General,Excellent,1720,1,1720,1
202201,202201,24,0.09,50,Whitby,3,Taxes loan,Excellent,4680,2,4680,2
202201,202201,36,0.08,20,North York,2,General,Excellent,3550,1,3550,1
202201,202201,36,0.1,20,North York,4,Travel,Excellent,6850,1,6850,1
202201,202201,36,0.1,50,Whitby,4,Travel,Excellent,1880,1,1880,1
202201,202201,48,0.05,30,Missisauga,1,Education,Excellent,3850,1,3850,1
202201,202201,48,0.08,10,Toronto,2,General,Excellent,560,1,560,1
202201,202201,48,0.1,10,Toronto,4,Travel,Excellent,1720,1,1720,1
202201,202201,60,0.08,50,Whitby,2,General,Excellent,5290,1,5290,1
202201,202201,60,0.09,30,Missisauga,3,Taxes loan,Excellent,5480,1,5480,1
202201,202201,60,0.09,40,Pickering,3,Taxes loan,Excellent,6140,1,6140,1
202201,202201,60,0.1,20,North York,4,Travel,Excellent,5150,1,5150,1
202202,202201,12,0.08,40,Pickering,2,General,Excellent,0,0,4009,1
202202,202201,12,0.09,10,Toronto,3,Taxes loan,Excellent,0,0,8473,1
202202,202201,24,0.05,20,North York,1,Education,Excellent,0,0,1651,1
202202,202201,24,0.05,40,Pickering,1,Education,Excellent,0,0,8325,1
202202,202201,24,0.08,30,Missisauga,2,General,Excellent,0,0,3922,1
202202,202201,24,0.08,40,Pickering,2,General,Excellent,0,0,5345,1
202202,202201,24,0.08,50,Whitby,2,General,Excellent,0,0,1653,1
202202,202201,24,0.09,50,Whitby,3,Taxes loan,Excellent,0,0,4501,2
202202,202201,36,0.08,20,North York,2,General,Excellent,0,0,3462,1
202202,202201,36,0.1,20,North York,4,Travel,Excellent,0,0,6686,1
202202,202201,36,0.1,50,Whitby,4,Travel,Excellent,0,0,1835,1
202202,202201,48,0.05,30,Missisauga,1,Education,Excellent,0,0,3777,1
202202,202201,48,0.08,10,Toronto,2,General,Excellent,0,0,550,1
202202,202201,48,0.1,10,Toronto,4,Travel,Excellent,0,0,1690,1
202202,202201,60,0.08,50,Whitby,2,General,Excellent,0,0,5218,1
202202,202201,60,0.09,30,Missisauga,3,Taxes loan,Excellent,0,0,5407,1
202202,202201,60,0.09,40,Pickering,3,Taxes loan,Excellent,0,0,6058,1
202202,202201,60,0.1,20,North York,4,Travel,Excellent,0,0,5083,1
202202,202202,12,0.05,40,Pickering,1,Education,Excellent,8770,1,8770,1
202202,202202,12,0.08,20,North York,2,General,Excellent,8310,1,8310,1
202202,202202,24,0.05,30,Missisauga,1,Education,Excellent,4770,1,4770,1
202202,202202,24,0.08,50,Whitby,2,General,Excellent,3790,1,3790,1
202202,202202,24,0.09,40,Pickering,3,Taxes loan,Excellent,6220,1,6220,1
202202,202202,36,0.05,40,Pickering,1,Education,Excellent,9920,1,9920,1
202202,202202,36,0.05,50,Whitby,1,Education,Excellent,7230,1,7230,1
202202,202202,36,0.08,10,Toronto,2,General,Excellent,1550,1,1550,1
202202,202202,36,0.08,50,Whitby,2,General,Excellent,5230,1,5230,1
202202,202202,48,0.05,10,Toronto,1,Education,Excellent,970,1,970,1
202202,202202,48,0.05,20,North York,1,Education,Excellent,2040,1,2040,1
202202,202202,48,0.08,40,Pickering,2,General,Excellent,2650,1,2650,1
202202,202202,48,0.09,10,Toronto,3,Taxes loan,Excellent,820,1,820,1
202202,202202,48,0.09,40,Pickering,3,Taxes loan,Excellent,5600,1,5600,1
202202,202202,48,0.1,20,North York,4,Travel,Excellent,9780,1,9780,1
